# 국세청 업종코드(6자리) → 우리 소비 중분류 대조표
#
# **KSIC 가 아니다.** 국세청 업종코드는 구 분류 세대를 쓴다(소매 52xxxx · 음식 55xxxx).
# KSIC-10(소매 47xx · 음식 56xx)과 번호가 겹치지 않으므로 섞어 쓰면 안 된다.
# 원천: reference/업종코드-국세청-2025.csv (국세청 2025년 귀속 업종코드, 1,542개)
#
# **여기 없는 코드는 전부 '카테고리없음'이다.** 1,542개 중 소비로 결제될 수 있는 것만 적는다 —
# 제조·도매·B2B 서비스는 개인 카드로 결제될 일이 사실상 없고, 억지로 연결하면 그 오분류를
# 아무도 눈치채지 못한다. 빠진 것은 가맹점명으로 LLM 이 받는다(§F).
#
# 왜 6자리인가: 4자리로는 화장품과 의약품이 한 코드(KSIC 4781)에 묶여 올리브영이 '의료'가 됐다.
# 국세청 6자리는 523131(화장품) / 523111(의약품) 으로 가른다.
#
# 주의 — 724000 은 OTT(넷플릭스)와 '데이터베이스 및 온라인 정보 제공업'(일부 PG 가 이 업종으로
# 등록)이 **한 코드에 섞여** 있다. 업종코드로는 못 가르므로 취미/여가로 두고, PG 는
# pg-사업자번호.tsv 로 따로 막는다.
#
# ── 4번째 칸: 카드혜택 축 (2026-08-10 신설) ──
#
# 우리 중분류(2번째 칸)는 **소비분석용**이라 카드 혜택이 걸리는 단위와 다르다 —
# 교통/자동차 하나에 주유(505001)·시내버스(602103)·택시(602201)가 함께 들어 있는데,
# 카드는 이 셋을 전부 다르게 취급한다(주유 리터당 할인 / 대중교통 10% / 택시 별도).
# 그래서 **한 파일에서 두 축이 나간다** — 소비분석은 중분류를, 카드추천은 이 칸을 읽는다.
#
# 축의 정본은 카드 검색 서비스가 실제로 쓰는 분류를 따랐다(뱅크샐러드 카드 혜택 필터).
# 우리가 새로 지으면 카드사 공시의 묶음과 어긋나서 매칭이 안 된다.
#
# **'혜택축없음'은 "소비가 아니다"가 아니다.** 그 업종에 걸리는 카드 혜택 축이 없다는 뜻이고,
# 카드로 결제됐으면 **전월 실적에는 그대로 들어간다.** 실적 제외는 카드사가 정하는 별개 목록이다
# (공과금·아파트관리비·상품권·대중교통 등 — 카드마다 다르다).
#
# 업종코드로 못 가르는 축이 둘 있다.
#   · 배달      배달의민족이 통신판매업으로 등록돼 '쇼핑'이 된다 → 브랜드로만 풀린다
#   · 간편결제   결제수단이라 업종이 아니다 → 표시만 하고 계산에서 뺀다
# 그래서 카드추천의 판정은 **브랜드가 1순위, 이 칸이 2순위**다.
#
# 업종코드	중분류	국세청 세세분류(사람이 읽는 근거)	카드혜택 축

# ── 정보통신업 ──
# 등록한 채 소비자에게 직접 파는 경우다.
#
# **여는 문은 이만큼만이다.** 받아들이는 기준은 하나 — <제조업 사업자에게 개인이 결제했다면
# 산 것은 그 제품이다>가 성립하는가. 가구는 성립한다(아래 값이 가구 소매업과 같은 '생활'인 것이
# 그 증거다). 건설·도매·금융·B2B 는 성립하지 않는다 — 실측에서 아파트 건설업으로 등록된
# 회사의 결제는 주차비였고, 상품 종합 도매업으로 등록된 회사의 결제는 호텔 주차비였다.
# 그래서 그 둘은 넣지 않는다. 등록 업종이 결제를 설명하지 못하는 자리다.
361001	생활	금속 가구 제조업	혜택축없음
361002	생활	기타 목재 가구 제조업	혜택축없음
361003	생활	그 외 기타 가구 제조업	혜택축없음
361005	생활	매트리스 및 침대 제조업	혜택축없음
361006	생활	소파 및 기타 내장 가구 제조업	혜택축없음
361007	생활	주방용 및 음식점용 목재 가구 제조업	혜택축없음

# ── 도매 및 소매업 (이어서) ──
523321	쇼핑	가전제품 소매업	쇼핑
523323	쇼핑	통신기기 소매업	쇼핑
523330	쇼핑	가전제품 소매업	쇼핑
523331	생활	가구 소매업	쇼핑
523332	생활	주방용품 및 가정용 유리, 요업제품 소매업	쇼핑
523341	생활	악기 소매업	쇼핑
523349	생활	악기 소매업	쇼핑
523352	생활	전기용품 및 조명장치 소매업	쇼핑
523361	쇼핑	가정용 직물제품 소매업	쇼핑
523363	쇼핑	가정용 직물제품 소매업	쇼핑
523370	생활	그 외 기타 분류 안된 가정용품 소매업	쇼핑
523390	쇼핑	가전제품 소매업	쇼핑
523391	생활	그 외 기타 분류 안된 가정용품 소매업	쇼핑
523411	생활	철물 및 난방용구 소매업	쇼핑
523412	생활	철물 및 난방용구 소매업	쇼핑
523413	생활	공구 소매업	쇼핑
523421	생활	페인트, 창호 및 기타 건설자재 소매업	쇼핑
523422	생활	주방용품 및 가정용 유리, 요업제품 소매업	쇼핑
523491	생활	페인트, 창호 및 기타 건설자재 소매업	쇼핑
523492	생활	페인트, 창호 및 기타 건설자재 소매업	쇼핑
523494	생활	페인트, 창호 및 기타 건설자재 소매업	쇼핑
523499	생활	페인트, 창호 및 기타 건설자재 소매업	쇼핑
523511	취미/여가	서적, 신문 및 잡지류 소매업	쇼핑
523520	취미/여가	문구용품 및 회화용품 소매업	쇼핑
523521	취미/여가	서적, 신문 및 잡지류 소매업	쇼핑
523531	쇼핑	컴퓨터 및 주변장치, 소프트웨어 소매업	쇼핑
523532	쇼핑	사무용 기기 소매업	쇼핑
523541	의료	안경 및 렌즈 소매업	병원/약국
523550	쇼핑	사진기 및 사진용품 소매업	쇼핑
523552	쇼핑	기타 광학 및 정밀 기기 소매업	쇼핑
523611	주거/통신	가정용 고체 연료 소매업	공과금/렌탈
523612	주거/통신	가정용 고체 연료 소매업	공과금/렌탈
523619	주거/통신	가정용 고체 연료 소매업	공과금/렌탈
523621	주거/통신	가정용 액체 연료 소매업	공과금/렌탈
523630	주거/통신	가정용 가스 연료 소매업	공과금/렌탈
523910	생활	벽지, 마루덮개 및 장판류 소매업	쇼핑
